filename,subset,acquisition_start,acquisition_end,oil_detected,oil_confidence,oil_pixels,oil_bbox,oil_centroid_latitude,oil_centroid_longitude,ship_count,ships
ow-0214.jpg,OW,2019-04-23T15:47:46,2019-04-23T15:49:26,False,0.490713506937027,0,,,,0,[]
ow-0332.jpg,OW,2019-05-28T15:56:40,2019-05-28T15:58:20,False,0.470638245344162,0,,,,0,[]
ow-0502.jpg,OW,2019-07-10T15:48:40,2019-07-10T15:50:20,False,0.4440809190273285,0,,,,0,[]
ow-0310.jpg,OW,2019-05-24T03:51:19,2019-05-24T03:53:00,False,0.43911418318748474,0,,,,0,[]
ow-0089.jpg,OW,2019-03-07T03:50:39,2019-03-07T03:52:18,False,0.4473216235637665,0,,,,0,[]
ow-0536.jpg,OW,2019-07-22T03:58:56,2019-07-22T04:00:35,False,0.47153735160827637,0,,,,0,[]
ow-0281.jpg,OW,2019-05-18T03:50:42,2019-05-18T03:52:21,False,0.47516584396362305,0,,,,0,[]
ow-0108.jpg,OW,2019-03-12T15:48:35,2019-03-12T15:50:15,False,0.456897109746933,0,,,,0,[]
ow-0060.jpg,OW,2019-02-24T03:42:57,2019-02-24T03:44:37,False,0.4525196850299835,0,,,,0,[]
ow-0507.jpg,OW,2019-07-11T03:51:21,2019-07-11T03:53:03,False,0.45735976099967957,0,,,,0,[]
ow-0360.jpg,OW,2019-05-31T03:43:00,2019-05-31T03:44:40,False,0.46989157795906067,0,,,,0,[]
ow-0446.jpg,OW,2019-06-22T15:47:49,2019-06-22T15:49:29,False,0.46724918484687805,0,,,,0,[]
ow-0071.jpg,OW,2019-03-06T03:59:26,2019-03-06T04:01:06,False,0.5523617267608643,0,,,,0,[]
ow-0097.jpg,OW,2019-03-11T15:56:09,2019-03-11T15:56:34,False,0.49582022428512573,0,,,,0,[]
ow-0858.jpg,OW,2019-10-21T03:50:49,2019-10-21T03:52:28,False,0.4713631570339203,0,,,,0,[]
ow-0750.jpg,OW,2019-09-28T03:43:06,2019-09-28T03:44:46,False,0.47053226828575134,0,,,,0,[]
ow-0864.jpg,OW,2019-10-22T03:43:06,2019-10-22T03:44:46,False,0.4491974711418152,0,,,,0,[]
