mmsi,timestamp,latitude,longitude,sog,cog,heading,vessel_type,detection_id,detection_time
100000836,2019-11-16 15:56:19+00:00,30.671318766005367,31.097475858043687,1.6994456701840825,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-16 16:11:19+00:00,30.681735432672035,31.107892524710355,1.6994456701840825,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-16 16:26:19+00:00,30.6921520993387,31.11830919137702,1.699367742886457,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-16 16:41:19+00:00,30.702568766005367,31.128725858043687,1.6992897965414648,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-16 16:56:19+00:00,30.712985432672035,31.139142524710355,1.6992118311550526,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-16 17:11:19+00:00,30.723402099338703,31.149559191377023,1.6991338467354864,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-16 17:26:19+00:00,30.733818766005367,31.159975858043687,1.6990558432898784,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-16 17:41:19+00:00,30.744235432672035,31.170392524710355,1.69897782082766,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-16 17:56:19+00:00,30.7546520993387,31.18080919137702,1.698899779354209,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-16 18:11:19+00:00,30.765068766005367,31.191225858043687,1.6988217188795423,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-16 18:26:19+00:00,30.77548543267203,31.20164252471035,1.6987436394090438,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-16 18:41:19+00:00,30.7859020993387,31.21205919137702,1.6986655409527356,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-16 18:56:19+00:00,30.796318766005367,31.222475858043687,1.698587423516587,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-16 19:11:19+00:00,30.806735432672035,31.232892524710355,1.6985092871088874,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-16 19:26:19+00:00,30.8171520993387,31.24330919137702,1.6984311317367706,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-16 19:41:19+00:00,30.827568766005367,31.253725858043687,1.69835295740969,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-16 19:56:19+00:00,30.837985432672035,31.264142524710355,1.6982747641336267,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-16 20:11:19+00:00,30.848402099338703,31.274559191377023,1.698196551916881,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-16 20:26:19+00:00,30.858818766005367,31.284975858043687,1.6981183207665984,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-16 20:41:19+00:00,30.86923543267203,31.29539252471035,1.6980400706916636,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-16 20:56:19+00:00,30.8796520993387,31.30580919137702,1.6979618016998073,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-16 21:11:19+00:00,30.890068766005367,31.316225858043687,1.697883513797603,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-16 21:26:19+00:00,30.90048543267203,31.32664252471035,1.697805206992787,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-16 21:41:19+00:00,30.9109020993387,31.33705919137702,1.6977268812948343,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-16 21:56:19+00:00,30.921318766005367,31.347475858043687,1.697648536709749,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-16 22:11:19+00:00,30.931735432672035,31.357892524710355,1.6975701732458544,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-16 22:26:19+00:00,30.9421520993387,31.36830919137702,1.6974917909103178,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-16 22:41:19+00:00,30.952568766005367,31.378725858043687,1.6974133897126258,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-16 22:56:19+00:00,30.962985432672035,31.389142524710355,1.697334969658794,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-16 23:11:19+00:00,30.973402099338703,31.399559191377023,1.6972565307571568,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-16 23:26:19+00:00,30.983818766005367,31.409975858043687,1.6971780730148933,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-16 23:41:19+00:00,30.99423543267203,31.42039252471035,1.6970995964409215,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-16 23:56:19+00:00,31.0046520993387,31.43080919137702,1.6970211010430056,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-17 00:11:19+00:00,31.015068766005367,31.441225858043687,1.6969425868277546,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-17 00:26:19+00:00,31.02548543267203,31.45164252471035,1.6968640538029374,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-17 00:41:19+00:00,31.0359020993387,31.46205919137702,1.6967855019780624,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-17 00:56:19+00:00,31.046318766005367,31.472475858043687,1.6967069313591687,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-17 01:11:19+00:00,31.056735432672035,31.482892524710355,1.6966283419546124,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-17 01:26:19+00:00,31.0671520993387,31.49330919137702,1.696549733771596,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-17 01:41:19+00:00,31.077568766005367,31.503725858043687,1.6964711068196383,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-17 01:56:19+00:00,31.087985432672035,31.514142524710355,1.6963924611047896,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-17 02:11:19+00:00,31.098402099338703,31.524559191377023,1.696313796635418,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-17 02:26:19+00:00,31.108818766005367,31.534975858043687,1.6962351134187366,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-17 02:41:19+00:00,31.11923543267203,31.54539252471035,1.6961564114636973,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-17 02:56:19+00:00,31.1296520993387,31.55580919137702,1.6960776907780968,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
100000836,2019-11-17 03:11:19+00:00,31.140068766005367,31.566225858043687,1.6959989513685796,45.0,45.0,tanker,ow-0933,2019-11-18 15:56:19+00:00
